                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.57602,                 4.0056,                  1.112,                0.04447,                0.83163,                0.17283,                0.16977,                0.21601,                 3.7536,                 0.8367,             0.00012232,             0.00012232,             0.00012232
                      2,                0.50192,                 3.3097,                 1.0747,                0.02431,                0.95734,                0.35961,                0.34764,                0.24821,                 3.3839,                0.84461,             0.00016763,             0.00016763,             0.00016763
                      3,                0.44021,                 2.5954,                 1.0173,                0.97456,                0.23604,                0.47708,                 0.4596,                0.27977,                 2.8208,                0.87241,             0.00012855,             0.00012855,             0.00012855
